5,"Splendido appartamento"
3,"Nel complesso non male, ma potrebbe migliorare"
2,"Ci siamo trovati malissimo"
5,"Scquisito!"
4,"Bellissima vista",
3,"Tutto sommato poteva andarci peggio"
1,"Una topaia"
5,"Splendido!"
5,"Pulito e con tutti i comfort che cercavamo"
5,"Una vista mozzafiato"
3,"Mancavano alcuni servizi fondamentali"
3,"Gestione pessima dei rifiuti",
4,"Un po' retrò ma bello"
5,"Host simpaticissimo e disponibilissimo!"
2,"Difficile da raggiungere in macchina, abbiamo dovuto fare un pezzo molto lungo di strada a piedi"
4,"Semplice e funzionale"